age,sex,income_family,province,education,religious,marital_status,language_knowledge,employed,votechoice,vote_liberal
23,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Single,English only,Yes,Green Party,0
52,Male,"$125,000 and more",Alberta,High school diploma,Yes,Has a partner,English only,Yes,Liberal Party,1
42,Male,"$25,000 to $49,999",British Columbia,College or certificate,Yes,Has a partner,English only,Yes,People's Party,0
41,Female,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Has a partner,Both English and French,Yes,Green Party,0
62,Male,"$25,000 to $49,999",Ontario,College or certificate,Yes,Single,English only,No,Liberal Party,1
62,Male,"$50,000 to $74,999",British Columbia,Bachelor's degree,Yes,Single,English only,No,Liberal Party,1
51,Female,"$125,000 and more",Alberta,College or certificate,Yes,Single,English only,No,ndp,0
28,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
69,Male,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,English only,No,Conservative Party,0
68,Male,"$50,000 to $74,999",Ontario,High school diploma,Yes,Has a partner,English only,No,Conservative Party,0
58,Female,"$25,000 to $49,999",British Columbia,Less than high school,Yes,Has a partner,English only,No,Liberal Party,1
35,Female,"$25,000 to $49,999",New Brunswick,College or certificate,Yes,Single,Both English and French,Yes,Green Party,0
73,Male,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,Both English and French,No,Conservative Party,0
58,Female,"Less than $25,000",Ontario,College or certificate,Yes,Single,Neither English nor French,Yes,Green Party,0
38,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Single,English only,Yes,ndp,0
60,Male,"$100,000 to $ 124,999",Manitoba,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
48,Male,"$125,000 and more",Alberta,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
34,Female,"$100,000 to $ 124,999",Nova Scotia,College or certificate,Yes,Has a partner,English only,Yes,Green Party,0
68,Female,"$25,000 to $49,999",Quebec,High school diploma,Yes,Single,French only,No,Liberal Party,1
66,Male,"$25,000 to $49,999",Newfoundland and Labrador,College or certificate,Yes,Has a partner,Neither English nor French,No,Conservative Party,0
58,Female,"$25,000 to $49,999",Alberta,College or certificate,Yes,Single,English only,Yes,Conservative Party,0
20,Female,"Less than $25,000",Alberta,High school diploma,Yes,Has a partner,English only,No,Don't know/ Prefer not to answer,0
48,Female,"$125,000 and more",Quebec,Above bachelor,Yes,Has a partner,French only,No,ndp,0
66,Female,"$25,000 to $49,999",Ontario,High school diploma,Yes,Single,English only,No,Liberal Party,1
20,Female,"$75,000 to $99,999",Ontario,College or certificate,Yes,Single,Neither English nor French,No,ndp,0
61,Male,"$100,000 to $ 124,999",British Columbia,College or certificate,Yes,Single,English only,No,Liberal Party,1
63,Male,"$25,000 to $49,999",Ontario,College or certificate,Yes,Single,English only,No,Liberal Party,1
30,Female,"$75,000 to $99,999",Alberta,Less than high school,Yes,Has a partner,English only,Yes,Conservative Party,0
25,Male,"$25,000 to $49,999",Manitoba,Bachelor's degree,Yes,Single,English only,Yes,Conservative Party,0
31,Male,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,Yes,People's Party,0
58,Male,"$125,000 and more",Ontario,Bachelor's degree,No,Has a partner,Both English and French,Yes,Liberal Party,1
29,Male,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,ndp,0
59,Female,"$100,000 to $ 124,999",Quebec,College or certificate,Yes,Has a partner,Both English and French,Yes,Conservative Party,0
77,Female,"$125,000 and more",Alberta,College or certificate,Yes,Has a partner,English only,No,Don't know/ Prefer not to answer,0
74,Male,"$100,000 to $ 124,999",British Columbia,Above bachelor,No,Has a partner,English only,No,ndp,0
73,Female,"$25,000 to $49,999",Alberta,High school diploma,Yes,Has a partner,English only,No,Conservative Party,0
65,Male,"$75,000 to $99,999",Quebec,Above bachelor,Yes,Has a partner,French only,No,ndp,0
41,Female,"$100,000 to $ 124,999",British Columbia,College or certificate,Yes,Has a partner,English only,Yes,Green Party,0
53,Male,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,Neither English nor French,Yes,Liberal Party,1
29,Female,"$25,000 to $49,999",Quebec,College or certificate,Yes,Has a partner,French only,No,Bloc Québécois,0
28,Male,"$75,000 to $99,999",Alberta,Bachelor's degree,Yes,Has a partner,English only,Yes,People's Party,0
54,Female,"$50,000 to $74,999",British Columbia,College or certificate,Yes,Has a partner,English only,No,Don't know/ Prefer not to answer,0
54,Male,"$125,000 and more",Quebec,Above bachelor,Yes,Has a partner,Both English and French,Yes,Don't know/ Prefer not to answer,0
33,Female,"$100,000 to $ 124,999",New Brunswick,College or certificate,Yes,Has a partner,English only,Yes,ndp,0
29,Female,"Less than $25,000",Saskatchewan,College or certificate,Yes,Has a partner,English only,Yes,ndp,0
50,Male,"$125,000 and more",Alberta,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
64,Male,"$100,000 to $ 124,999",Quebec,Bachelor's degree,Yes,Has a partner,Both English and French,No,Bloc Québécois,0
48,Female,"$50,000 to $74,999",Ontario,Above bachelor,Yes,Single,English only,Yes,ndp,0
46,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Green Party,0
26,Female,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,Both English and French,Yes,ndp,0
32,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Single,English only,Yes,Conservative Party,0
61,Female,"Less than $25,000",Ontario,College or certificate,Yes,Single,English only,No,Liberal Party,1
63,Male,"$50,000 to $74,999",Quebec,Bachelor's degree,Yes,Single,French only,No,Bloc Québécois,0
45,Male,"$75,000 to $99,999",Ontario,High school diploma,Yes,Has a partner,Neither English nor French,Yes,Don't know/ Prefer not to answer,0
32,Female,"$25,000 to $49,999",Ontario,Less than high school,Yes,Has a partner,English only,No,Liberal Party,1
66,Male,"$75,000 to $99,999",Quebec,Bachelor's degree,Yes,Has a partner,French only,Yes,Liberal Party,1
73,Male,"Less than $25,000",Quebec,High school diploma,Yes,Has a partner,French only,No,Conservative Party,0
68,Male,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,French only,No,Bloc Québécois,0
66,Male,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
78,Male,"$25,000 to $49,999",Saskatchewan,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
50,Male,"$50,000 to $74,999",Newfoundland and Labrador,High school diploma,Yes,Has a partner,English only,Yes,Liberal Party,1
38,Male,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
64,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Single,English only,No,ndp,0
22,Male,"Less than $25,000",Quebec,College or certificate,Yes,Single,French only,No,ndp,0
48,Male,"$50,000 to $74,999",Alberta,College or certificate,No,Has a partner,English only,No,Conservative Party,0
45,Female,"$75,000 to $99,999",Quebec,Above bachelor,Yes,Single,French only,Yes,Bloc Québécois,0
73,Female,"$25,000 to $49,999",Saskatchewan,High school diploma,Yes,Single,English only,No,Liberal Party,1
40,Male,"$125,000 and more",Alberta,High school diploma,Yes,Has a partner,English only,Yes,Conservative Party,0
71,Female,"$100,000 to $ 124,999",British Columbia,Above bachelor,Yes,Has a partner,English only,No,Liberal Party,1
60,Male,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,No,Liberal Party,1
29,Female,"$75,000 to $99,999",Ontario,Above bachelor,Yes,Single,English only,Yes,Liberal Party,1
35,Female,"Less than $25,000",Alberta,College or certificate,Yes,Single,English only,No,Conservative Party,0
60,Female,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes,Don't know/ Prefer not to answer,0
39,Female,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,French only,Yes,Conservative Party,0
45,Male,"$125,000 and more",Ontario,High school diploma,Yes,Has a partner,English only,Yes,Conservative Party,0
73,Female,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Liberal Party,1
66,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,No,Conservative Party,0
67,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,Both English and French,No,Liberal Party,1
31,Female,"$125,000 and more",Quebec,Above bachelor,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
65,Female,"$50,000 to $74,999",Manitoba,College or certificate,Yes,Has a partner,English only,No,Liberal Party,1
55,Female,"$75,000 to $99,999",Nova Scotia,Above bachelor,Yes,Single,Both English and French,Yes,ndp,0
78,Male,"$25,000 to $49,999",British Columbia,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
84,Female,"$50,000 to $74,999",Quebec,High school diploma,Yes,Has a partner,French only,No,Liberal Party,1
25,Male,"$75,000 to $99,999",Alberta,Bachelor's degree,Yes,Single,Both English and French,Yes,Conservative Party,0
75,Male,"$75,000 to $99,999",Ontario,Above bachelor,Yes,Has a partner,English only,No,Don't know/ Prefer not to answer,0
68,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Liberal Party,1
66,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,No,ndp,0
49,Male,"$125,000 and more",Saskatchewan,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
38,Male,"$50,000 to $74,999",British Columbia,Bachelor's degree,Yes,Single,English only,Yes,Liberal Party,1
59,Male,"Less than $25,000",Alberta,High school diploma,Yes,Single,English only,No,Liberal Party,1
67,Female,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,No,Green Party,0
35,Female,"$50,000 to $74,999",British Columbia,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
62,Male,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Liberal Party,1
44,Male,"$50,000 to $74,999",British Columbia,College or certificate,Yes,Single,English only,Yes,Liberal Party,1
56,Male,"Less than $25,000",Alberta,College or certificate,Yes,Single,English only,No,Green Party,0
57,Female,"$25,000 to $49,999",Alberta,High school diploma,Yes,Single,Neither English nor French,No,ndp,0
48,Female,"$50,000 to $74,999",Alberta,College or certificate,Yes,Single,English only,Yes,Conservative Party,0
49,Male,"$100,000 to $ 124,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,People's Party,0
51,Male,"$100,000 to $ 124,999",Quebec,Bachelor's degree,Yes,Has a partner,French only,Yes,Don't know/ Prefer not to answer,0
77,Male,"$75,000 to $99,999",Saskatchewan,Above bachelor,Yes,Single,Neither English nor French,No,Green Party,0
21,Male,"$75,000 to $99,999",British Columbia,College or certificate,Yes,Single,English only,No,Conservative Party,0
71,Male,"$50,000 to $74,999",Ontario,Less than high school,Yes,Has a partner,English only,No,Conservative Party,0
36,Female,"$50,000 to $74,999",Ontario,Bachelor's degree,No,Has a partner,Both English and French,Yes,Green Party,0
52,Male,"$125,000 and more",Nova Scotia,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
59,Female,"$25,000 to $49,999",Nova Scotia,College or certificate,Yes,Single,English only,No,Liberal Party,1
39,Male,"$125,000 and more",New Brunswick,High school diploma,Yes,Has a partner,English only,Yes,Conservative Party,0
67,Female,"$75,000 to $99,999",Alberta,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
64,Female,"$125,000 and more",Alberta,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
73,Male,"$100,000 to $ 124,999",Nova Scotia,Above bachelor,Yes,Has a partner,English only,No,ndp,0
76,Female,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,No,Liberal Party,1
47,Female,"$100,000 to $ 124,999",Ontario,Above bachelor,Yes,Single,English only,Yes,Don't know/ Prefer not to answer,0
73,Male,"$25,000 to $49,999",British Columbia,Bachelor's degree,Yes,Single,English only,No,ndp,0
48,Female,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
27,Female,"$25,000 to $49,999",Quebec,Bachelor's degree,Yes,Single,French only,Yes,Don't know/ Prefer not to answer,0
34,Female,"$75,000 to $99,999",Manitoba,Above bachelor,Yes,Has a partner,Both English and French,No,ndp,0
31,Male,"Less than $25,000",Ontario,Less than high school,No,Single,English only,No,ndp,0
68,Male,"$50,000 to $74,999",Quebec,High school diploma,Yes,Has a partner,Neither English nor French,No,Liberal Party,1
63,Male,"$25,000 to $49,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes,Liberal Party,1
45,Female,"$125,000 and more",British Columbia,Above bachelor,Yes,Has a partner,English only,Yes,Green Party,0
29,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,Neither English nor French,Yes,Don't know/ Prefer not to answer,0
26,Male,"Less than $25,000",Quebec,Less than high school,Yes,Single,French only,No,Don't know/ Prefer not to answer,0
65,Male,"$25,000 to $49,999",Quebec,College or certificate,Yes,Has a partner,English only,Yes,ndp,0
39,Female,"$125,000 and more",Saskatchewan,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
27,Female,"$75,000 to $99,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,ndp,0
49,Female,"$25,000 to $49,999",New Brunswick,College or certificate,Yes,Single,Both English and French,Yes,ndp,0
42,Female,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
33,Female,"$50,000 to $74,999",Alberta,Above bachelor,Yes,Has a partner,English only,Yes,ndp,0
32,Male,"$50,000 to $74,999",Alberta,College or certificate,Yes,Single,English only,Yes,Conservative Party,0
72,Male,"$100,000 to $ 124,999",Quebec,Bachelor's degree,Yes,Has a partner,Both English and French,No,Conservative Party,0
35,Female,"$50,000 to $74,999",British Columbia,College or certificate,Yes,Single,English only,Yes,Green Party,0
48,Male,"$100,000 to $ 124,999",Alberta,College or certificate,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
57,Male,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
50,Female,"$25,000 to $49,999",British Columbia,College or certificate,Yes,Single,English only,No,People's Party,0
62,Female,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,Both English and French,No,Bloc Québécois,0
61,Male,"$25,000 to $49,999",Quebec,College or certificate,Yes,Single,French only,No,Bloc Québécois,0
56,Male,"$25,000 to $49,999",Quebec,High school diploma,Yes,Single,French only,No,Conservative Party,0
56,Female,"$100,000 to $ 124,999",Ontario,High school diploma,Yes,Has a partner,English only,Yes,Liberal Party,1
65,Male,"$100,000 to $ 124,999",Ontario,Above bachelor,Yes,Has a partner,English only,No,Liberal Party,1
48,Male,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,ndp,0
63,Female,"$75,000 to $99,999",Quebec,Above bachelor,Yes,Single,French only,Yes,Don't know/ Prefer not to answer,0
37,Female,"$125,000 and more",British Columbia,Above bachelor,Yes,Has a partner,Both English and French,Yes,Don't know/ Prefer not to answer,0
61,Male,"$100,000 to $ 124,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,No,Don't know/ Prefer not to answer,0
55,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Bloc Québécois,0
24,Female,"$25,000 to $49,999",New Brunswick,College or certificate,Yes,Has a partner,English only,Yes,Green Party,0
66,Female,"$25,000 to $49,999",Ontario,High school diploma,Yes,Has a partner,English only,No,Conservative Party,0
42,Female,"$75,000 to $99,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Don't know/ Prefer not to answer,0
58,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Single,French only,No,Don't know/ Prefer not to answer,0
52,Male,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,English only,Yes,Liberal Party,1
42,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Conservative Party,0
63,Female,"$25,000 to $49,999",Alberta,High school diploma,Yes,Has a partner,English only,No,Conservative Party,0
47,Male,"$50,000 to $74,999",Alberta,College or certificate,Yes,Single,English only,Yes,Green Party,0
61,Male,"$125,000 and more",Quebec,Above bachelor,Yes,Has a partner,French only,Yes,Bloc Québécois,0
47,Male,"$125,000 and more",New Brunswick,Bachelor's degree,Yes,Has a partner,English only,Yes,Green Party,0
65,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Single,English only,No,Don't know/ Prefer not to answer,0
70,Male,"$75,000 to $99,999",Alberta,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
33,Female,"$50,000 to $74,999",New Brunswick,College or certificate,Yes,Has a partner,English only,Yes,Green Party,0
50,Female,"$125,000 and more",Ontario,High school diploma,Yes,Has a partner,English only,Yes,Liberal Party,1
59,Male,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,French only,Yes,Liberal Party,1
27,Female,"$75,000 to $99,999",New Brunswick,College or certificate,Yes,Has a partner,Both English and French,Yes,Don't know/ Prefer not to answer,0
43,Female,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Green Party,0
65,Female,"$75,000 to $99,999",Ontario,Above bachelor,Yes,Has a partner,Neither English nor French,No,Liberal Party,1
31,Female,"$25,000 to $49,999",British Columbia,High school diploma,Yes,Has a partner,English only,Yes,Green Party,0
55,Female,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
60,Female,"Less than $25,000",Saskatchewan,College or certificate,Yes,Single,English only,Yes,Conservative Party,0
65,Female,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,English only,Yes,Liberal Party,1
62,Male,"Less than $25,000",Ontario,Above bachelor,Yes,Has a partner,English only,No,Liberal Party,1
34,Female,"$25,000 to $49,999",Nova Scotia,High school diploma,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
63,Male,"$50,000 to $74,999",Quebec,Less than high school,Yes,Single,Both English and French,No,Liberal Party,1
52,Female,"$125,000 and more",Newfoundland and Labrador,College or certificate,Yes,Has a partner,English only,Yes,ndp,0
63,Female,"$75,000 to $99,999",Alberta,Bachelor's degree,Yes,Has a partner,Both English and French,No,Conservative Party,0
43,Female,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
50,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Bloc Québécois,0
65,Female,"$25,000 to $49,999",Nova Scotia,High school diploma,Yes,Has a partner,English only,No,Don't know/ Prefer not to answer,0
25,Female,"$50,000 to $74,999",Alberta,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
61,Female,"$50,000 to $74,999",Ontario,High school diploma,Yes,Has a partner,English only,No,Liberal Party,1
74,Male,"$75,000 to $99,999",Alberta,Bachelor's degree,Yes,Has a partner,English only,No,Don't know/ Prefer not to answer,0
59,Female,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,No,Liberal Party,1
65,Male,"$75,000 to $99,999",Nova Scotia,College or certificate,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
67,Male,"$25,000 to $49,999",Alberta,College or certificate,Yes,Single,English only,No,Conservative Party,0
41,Female,"$100,000 to $ 124,999",Ontario,Above bachelor,Yes,Single,Both English and French,Yes,Liberal Party,1
61,Female,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,English only,Yes,Liberal Party,1
28,Female,"$100,000 to $ 124,999",Manitoba,Bachelor's degree,Yes,Single,English only,Yes,Liberal Party,1
28,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Single,Both English and French,Yes,People's Party,0
61,Female,"$75,000 to $99,999",Newfoundland and Labrador,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
64,Male,"$125,000 and more",British Columbia,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
54,Female,"Less than $25,000",Nova Scotia,College or certificate,Yes,Has a partner,English only,No,Liberal Party,1
56,Female,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Conservative Party,0
23,Female,"Less than $25,000",Ontario,Bachelor's degree,Yes,Single,English only,No,ndp,0
49,Female,"Less than $25,000",Alberta,College or certificate,Yes,Single,English only,No,Conservative Party,0
67,Male,"$50,000 to $74,999",British Columbia,College or certificate,Yes,Has a partner,English only,No,People's Party,0
35,Male,"$25,000 to $49,999",Alberta,College or certificate,No,Single,English only,Yes,Don't know/ Prefer not to answer,0
44,Female,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,ndp,0
64,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Single,English only,Yes,Conservative Party,0
65,Female,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,Neither English nor French,Yes,Don't know/ Prefer not to answer,0
49,Female,"$75,000 to $99,999",Ontario,High school diploma,Yes,Has a partner,Both English and French,No,Don't know/ Prefer not to answer,0
60,Male,"$50,000 to $74,999",New Brunswick,High school diploma,Yes,Has a partner,English only,Yes,Green Party,0
52,Female,"$100,000 to $ 124,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
43,Male,"$75,000 to $99,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Bloc Québécois,0
23,Male,"$125,000 and more",Ontario,College or certificate,Yes,Single,English only,No,Green Party,0
67,Male,"$75,000 to $99,999",British Columbia,College or certificate,Yes,Has a partner,English only,No,Liberal Party,1
65,Female,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
37,Female,"Less than $25,000",Quebec,Bachelor's degree,Yes,Single,French only,No,Liberal Party,1
33,Male,"$25,000 to $49,999",Alberta,College or certificate,No,Single,English only,Yes,Liberal Party,1
39,Female,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,ndp,0
75,Male,"$50,000 to $74,999",Alberta,Bachelor's degree,Yes,Has a partner,English only,No,Conservative Party,0
44,Female,"$75,000 to $99,999",Prince Edward Island,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
69,Male,"Less than $25,000",Manitoba,Bachelor's degree,Yes,Has a partner,English only,No,Liberal Party,1
70,Male,"$100,000 to $ 124,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,No,ndp,0
35,Female,"$75,000 to $99,999",Nova Scotia,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
25,Male,"$125,000 and more",Quebec,Above bachelor,Yes,Has a partner,French only,Yes,Liberal Party,1
25,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Single,English only,Yes,Another party (please specify),0
65,Female,"$75,000 to $99,999",Ontario,High school diploma,Yes,Has a partner,English only,No,Conservative Party,0
64,Male,"$75,000 to $99,999",Quebec,Above bachelor,Yes,Single,English only,No,Liberal Party,1
65,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
56,Male,"$75,000 to $99,999",British Columbia,College or certificate,Yes,Single,English only,Yes,Conservative Party,0
64,Male,"$75,000 to $99,999",British Columbia,High school diploma,Yes,Has a partner,English only,Yes,Liberal Party,1
66,Male,"$25,000 to $49,999",Quebec,College or certificate,Yes,Has a partner,French only,No,Don't know/ Prefer not to answer,0
53,Female,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes,Liberal Party,1
51,Female,"$50,000 to $74,999",Ontario,College or certificate,Yes,Single,English only,Yes,ndp,0
70,Female,"$50,000 to $74,999",Nova Scotia,Less than high school,Yes,Has a partner,English only,No,Green Party,0
20,Male,"$75,000 to $99,999",Alberta,High school diploma,Yes,Single,English only,Yes,Liberal Party,1
60,Female,"Less than $25,000",Ontario,College or certificate,No,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
26,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Single,Neither English nor French,Yes,ndp,0
30,Male,"$75,000 to $99,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Conservative Party,0
58,Male,"$25,000 to $49,999",Quebec,College or certificate,Yes,Single,French only,Yes,Don't know/ Prefer not to answer,0
45,Female,"$50,000 to $74,999",British Columbia,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
47,Female,"$25,000 to $49,999",Ontario,High school diploma,Yes,Has a partner,English only,Yes,Liberal Party,1
29,Male,"$125,000 and more",British Columbia,Bachelor's degree,Yes,Has a partner,English only,Yes,Conservative Party,0
37,Female,"$100,000 to $ 124,999",Ontario,Above bachelor,Yes,Single,English only,Yes,Liberal Party,1
54,Female,"$50,000 to $74,999",Ontario,College or certificate,Yes,Single,Both English and French,Yes,Liberal Party,1
37,Female,"$50,000 to $74,999",Alberta,Bachelor's degree,Yes,Single,English only,Yes,Conservative Party,0
55,Male,"Less than $25,000",Ontario,College or certificate,No,Single,English only,No,Liberal Party,1
62,Male,"Less than $25,000",Alberta,Bachelor's degree,Yes,Single,English only,No,Conservative Party,0
57,Female,"$75,000 to $99,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Green Party,0
42,Female,"$100,000 to $ 124,999",Ontario,Above bachelor,Yes,Has a partner,Neither English nor French,Yes,Conservative Party,0
69,Male,"Less than $25,000",Ontario,Above bachelor,Yes,Single,English only,No,Another party (please specify),0
43,Male,"$100,000 to $ 124,999",British Columbia,College or certificate,Yes,Has a partner,Neither English nor French,Yes,Conservative Party,0
56,Female,"$125,000 and more",Alberta,Bachelor's degree,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
62,Male,"$100,000 to $ 124,999",Ontario,High school diploma,Yes,Has a partner,English only,Yes,Liberal Party,1
51,Female,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
65,Male,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,English only,No,Liberal Party,1
54,Female,"Less than $25,000",Ontario,Bachelor's degree,Yes,Single,English only,No,Don't know/ Prefer not to answer,0
29,Female,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Single,Both English and French,Yes,Liberal Party,1
66,Female,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes,Liberal Party,1
50,Male,"$25,000 to $49,999",British Columbia,College or certificate,Yes,Single,English only,Yes,ndp,0
73,Female,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Don't know/ Prefer not to answer,0
69,Female,"$25,000 to $49,999",Newfoundland and Labrador,College or certificate,Yes,Has a partner,English only,No,Liberal Party,1
36,Female,"$125,000 and more",Alberta,Bachelor's degree,Yes,Has a partner,Neither English nor French,Yes,Green Party,0
28,Male,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Has a partner,Both English and French,No,Liberal Party,1
29,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Single,English only,No,ndp,0
25,Female,"Less than $25,000",Quebec,College or certificate,Yes,Has a partner,Both English and French,No,Liberal Party,1
43,Female,"$125,000 and more",British Columbia,Bachelor's degree,Yes,Has a partner,Both English and French,Yes,Green Party,0
67,Female,"$25,000 to $49,999",Quebec,High school diploma,Yes,Has a partner,Both English and French,No,Liberal Party,1
37,Female,"$125,000 and more",New Brunswick,Bachelor's degree,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
48,Female,"Less than $25,000",Quebec,Bachelor's degree,Yes,Single,Both English and French,No,ndp,0
41,Female,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
32,Female,"$125,000 and more",Ontario,Bachelor's degree,No,Has a partner,Neither English nor French,Yes,Liberal Party,1
51,Male,"$125,000 and more",New Brunswick,Bachelor's degree,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
